fullName,year,age,team_name_abbr,comp_name_abbr,b_war,b_games,b_pa,b_ab,b_r,b_h,b_doubles,b_triples,b_hr,b_rbi,b_sb,b_cs,b_bb,b_so,b_batting_avg,b_onbase_perc,b_slugging_perc,b_onbase_plus_slugging,b_onbase_plus_slugging_plus,b_roba,b_rbat_plus,b_tb,b_gidp,b_hbp,b_sh,b_sf,b_ibb,pos,salary
Aaron Judge,2024,32,NYY,AL,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,0.322,0.458,0.701,1.159,225,0.484,223,392,22,9,0,2,20,*8D/97,40000000
Aaron Schunk,2024,26,COL,NL,0.2,39,98,94,14,22,3,0,2,7,0,1,4,31,0.234,0.265,0.33,0.595,59,0.26,55,31,0,0,0,0,1,45/H6D,0
Abraham Toro,2024,27,OAK,AL,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,0.24,0.293,0.35,0.643,87,0.285,85,118,4,5,2,0,1,54DH/37,0
Adael Amador,2024,21,COL,NL,-0.4,10,36,35,1,6,1,0,0,0,1,0,1,6,0.171,0.194,0.2,0.394,7,0.21,10,7,1,0,0,0,0,4,0
Adam Frazier,2024,32,KCR,AL,0.3,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,64,0.269,64,77,0,7,3,0,0,4H9D7/53,1530000
Addison Barger,2024,24,TOR,AL,0.4,69,225,208,20,41,11,0,7,28,2,0,14,60,0.197,0.25,0.351,0.601,68,0.272,70,73,1,1,0,1,0,59H7/D,0
Adley Rutschman,2024,26,BAL,AL,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,0.25,0.318,0.391,0.709,106,0.313,107,223,9,2,0,7,3,2D/H,5500000
Akil Baddoo,2024,25,DET,AL,-0.5,31,82,73,7,10,2,2,2,5,1,0,8,27,0.137,0.22,0.301,0.521,47,0.23,39,22,0,0,0,1,0,7/89H,0
Alan Trejo,2024,28,COL,NL,-0.8,28,67,63,4,9,0,0,0,1,0,0,2,15,0.143,0.182,0.143,0.325,-11,0.154,-27,9,2,1,1,0,0,4/5H6D,0
Alec Bohm,2024,27,PHI,NL,3,143,606,554,62,155,44,2,15,97,5,2,40,86,0.28,0.332,0.448,0.779,114,0.34,117,248,18,6,0,6,2,*53/DH,7700000
Alec Burleson,2024,25,STL,NL,1.2,152,595,547,71,147,20,0,21,78,9,4,35,76,0.269,0.314,0.42,0.735,104,0.325,105,230,8,4,1,6,0,D97H3,0
Alejandro Kirk,2024,25,TOR,AL,2,103,386,340,23,86,19,1,5,54,0,0,35,51,0.253,0.319,0.359,0.677,92,0.303,94,122,11,2,0,9,1,2/HD,4600000
Alek Thomas,2024,24,ARI,NL,0,39,103,95,13,18,5,1,3,17,4,1,7,17,0.189,0.245,0.358,0.603,66,0.283,71,34,7,0,1,0,0,8/HD,0
Alex Bregman,2024,30,HOU,AL,4.1,145,634,581,79,151,30,2,26,75,3,1,44,86,0.26,0.315,0.453,0.768,117,0.334,117,263,13,5,0,4,1,*5/D,40000000
Alex Verdugo,2024,28,NYY,AL,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,0.233,0.291,0.356,0.647,84,0.288,81,199,14,1,2,10,0,*79/8,1500000
Alexander Canario,2024,24,CHC,NL,0.3,15,28,25,4,7,1,0,1,2,1,0,2,11,0.28,0.357,0.44,0.797,125,0.35,120,11,0,1,0,0,0,7/9HD,0
Amed Rosario,2024,28,3TM,2LG,-0.1,103,346,332,29,93,18,3,3,32,13,5,9,73,0.28,0.306,0.38,0.686,94,0.312,98,126,10,4,0,1,0,49DH56,2000000
Andrew Benintendi,2024,29,CHW,AL,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,0.229,0.289,0.396,0.685,93,0.299,92,189,12,1,0,3,1,*7H/D8,15000000
Andrew Knizner,2024,29,TEX,AL,-0.9,35,93,90,5,15,1,0,1,9,0,0,1,22,0.167,0.183,0.211,0.394,14,0.183,9,19,2,1,0,1,0,2/1D,0
Andrew McCutchen,2024,37,PIT,NL,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,0.232,0.328,0.411,0.739,105,0.332,110,184,9,7,0,2,1,*D/9H,5000000
Andrew Vaughn,2024,26,CHW,AL,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,0.246,0.297,0.402,0.699,97,0.305,96,229,13,6,0,5,0,*3D/H,5850000
Andruw Monasterio,2024,27,MIL,NL,-0.2,59,142,125,14,26,5,0,1,16,6,2,16,40,0.208,0.303,0.272,0.575,64,0.267,60,34,3,1,0,0,0,54H/3D7,0
Andrés Chaparro,2024,25,WSN,NL,-0.1,33,132,121,12,26,12,0,4,15,1,1,7,24,0.215,0.28,0.413,0.694,95,0.305,97,50,3,4,0,0,0,D3,0
Andy Pages,2024,23,LAD,NL,1.3,116,443,403,65,100,23,1,13,46,1,2,29,108,0.248,0.305,0.407,0.712,100,0.31,101,164,8,6,0,4,0,*89/H7D,0
Anthony Volpe,2024,23,NYY,AL,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,0.243,0.293,0.364,0.657,86,0.296,84,232,9,4,2,3,1,*6/H,0
