fullName,value_label,value,salary
Aaron Judge,Undervalued,2.7e-07,0.7808328352261407
Adam Frazier,Overvalued,1.96078431372549e-07,0.01434548714883443
Adley Rutschman,Undervalued,6.181818181818181e-07,0.09344490934449093
Alec Bohm,Undervalued,3.896103896103896e-07,0.1372783422992628
Alejandro Kirk,Undervalued,4.347826086956522e-07,0.0755130504084479
Alex Bregman,Overvalued,1.0249999999999998e-07,0.7808328352261407
Alex Verdugo,Undervalued,5.333333333333333e-07,0.013747758517632994
Amed Rosario,Overvalued,-5.0000000000000004e-08,0.023709902370990237
Andrew Benintendi,Overvalued,-5.3333333333333334e-08,0.28272564255827853
Andrew McCutchen,Overvalued,1.6e-07,0.08348276549113369
Andrew Vaughn,Overvalued,3.418803418803419e-08,0.100418410041841
Austin Barnes,Overvalued,2e-07,0.05359633393106197
Austin Hays,Overvalued,-2e-08,0.08348276549113369
Austin Hedges,Overvalued,-1.5e-07,0.06355847778441921
Austin Riley,Overvalued,1.367924528301887e-07,0.4062562263399083
Austin Slater,Overvalued,-1.1428571428571429e-07,0.018728830444311617
Ben Rortvedt,Undervalued,7.964601769911505e-07,0.006375772066148635
Bo Bichette,Overvalued,-2.6785714285714285e-08,0.2070133492727635
Brandon Lowe,Undervalued,4.941176470588235e-07,0.08063643867588877
Brandon Nimmo,Overvalued,1.0864197530864199e-07,0.3873281530185296
Brendan Donovan,Undervalued,9.12280701754386e-07,0.04064554692169755
Brent Rooker,Undervalued,4.6666666666666666e-07,0.22295277943813507
Bryan Reynolds,Undervalued,2.6978922716627636e-07,0.24972604104403268
Bryson Stott,Undervalued,7.8125e-07,0.047619047619047616
Byron Buxton,Undervalued,2.5200000000000003e-07,0.2684940084820539
Cal Raleigh,Undervalued,2.6857142857142856e-07,0.33253636182506474
Carlos Correa,Overvalued,1.1100000000000001e-07,0.6480042505147108
Carlos Santana,Undervalued,2.0833333333333333e-07,0.22295277943813507
Ceddanne Rafaela,Undervalued,4.48e-07,0.1083881251245268
Cedric Mullins,Undervalued,2.9782359679266897e-07,0.15780035863717873
Chas McCormick,Overvalued,-1.764705882352941e-07,0.05160390516039052
Christian Yelich,Overvalued,9.209302325581396e-08,0.4598304221735184
Cody Bellinger,Overvalued,1.1e-07,0.38234708109185095
Colt Keith,Undervalued,2.3044692737430171e-07,0.07896659361094507
Connor Joe,Undervalued,6e-07,0.003785614664275752
Corey Seager,Overvalued,1.5384615384615385e-07,0.631400677425782
Danny Jansen,Overvalued,8.235294117647059e-08,0.1532177724646344
