fullName,year,age,team_name_abbr,comp_name_abbr,p_war,p_w,p_l,p_win_loss_perc,p_earned_run_avg,p_g,p_gs,p_gf,p_cg,p_sho,p_sv,p_ip,p_h,p_r,p_er,p_hr,p_bb,p_ibb,p_so,p_hbp,p_bk,p_wp,p_bfp,p_earned_run_avg_plus,p_fip,p_whip,p_hits_per_nine,p_hr_per_nine,p_bb_per_nine,p_so_per_nine,p_strikeouts_per_base_on_balls,salary
Aaron Ashby,2024,26,MIL,NL,0.2,1,2,0.333,2.86,14,2,3,0,0,0,28.1,20,13,9,2,10,0,33,0,0,1,119,144,2.81,1.059,6.4,0.6,3.2,10.5,3.3,4100000.0
Aaron Bummer,2024,30,ATL,NL,0.6,4,3,0.571,3.58,56,0,13,0,0,0,55.1,61,24,22,2,18,2,69,2,0,2,244,118,2.23,1.428,9.9,0.3,2.9,11.2,3.83,6500000.0
Aaron Civale,2024,29,2TM,2LG,1.1,8,9,0.471,4.36,31,31,0,0,0,0,161.0,158,82,78,29,52,0,149,6,0,1,689,93,4.74,1.304,8.8,1.6,2.9,8.3,2.87,8000000.0
Aaron Nola,2024,31,PHI,NL,3.7,14,8,0.636,3.57,33,33,0,1,1,0,199.1,189,84,79,30,50,0,197,3,0,2,820,117,3.94,1.199,8.5,1.4,2.3,8.9,3.94,24571428.57142857
Abner Uribe,2024,24,MIL,NL,-0.4,2,2,0.5,6.91,14,0,6,0,0,3,14.1,15,11,11,1,12,2,14,0,0,3,66,60,4.63,1.884,9.4,0.6,7.5,8.8,1.17,0.0
Adam Mazur,2024,23,SDP,NL,-0.7,1,3,0.25,7.49,8,8,0,0,0,0,33.2,40,28,28,6,21,0,22,2,0,0,158,55,6.23,1.812,10.7,1.6,5.6,5.9,1.05,0.0
Adam Ottavino,2024,38,NYM,NL,0.0,2,2,0.5,4.34,60,0,9,0,0,1,56.0,49,29,27,6,23,1,70,7,0,5,245,89,3.67,1.286,7.9,1.0,3.7,11.3,3.04,0.0
Adrian Houser,2024,31,NYM,NL,-0.9,1,5,0.167,5.84,23,7,9,0,0,1,69.1,74,48,45,8,32,0,45,4,0,2,309,66,4.93,1.529,9.6,1.0,4.2,5.8,1.41,0.0
Adrian Morejon,2024,25,SDP,NL,1.3,3,2,0.6,2.83,60,0,12,0,0,2,63.2,63,24,20,4,21,2,71,1,1,7,272,146,2.79,1.319,8.9,0.6,3.0,10.0,3.38,2000000.0
AJ Smith-Shawver,2024,21,ATL,NL,0.3,0,0,,0.0,1,1,0,0,0,0,4.1,3,0,0,0,2,0,4,0,0,0,18,,2.7,1.154,6.2,0.0,4.2,8.3,2.0,0.0
Alek Jacob,2024,26,SDP,NL,0.3,0,0,,2.45,7,0,2,0,0,0,14.2,9,4,4,1,2,0,19,2,0,0,57,171,2.28,0.75,5.5,0.6,1.2,11.7,9.5,0.0
Alex Vesia,2024,28,LAD,NL,1.6,5,4,0.556,1.76,67,0,10,0,0,5,66.1,33,19,13,7,33,3,87,1,0,2,263,227,3.45,0.995,4.5,0.9,4.5,11.8,2.64,2300000.0
