fullName,value_label,value,salary
Aaron Ashby,Overvalued,4.8780487804878054e-08,0.07909124043251124
Aaron Bummer,Overvalued,9.23076923076923e-08,0.13740736241039972
Aaron Civale,Overvalued,1.375e-07,0.17385493864658
Aaron Nola,Overvalued,1.5058139534883723e-07,0.5765138761129528
Adrian Morejon,Undervalued,6.5e-07,0.028064633701858827
Alex Vesia,Undervalued,6.956521739130435e-07,0.03535414894909489
Andre Pallante,Undervalued,8.095238095238095e-07,0.030494472117604178
Andrew Heaney,Overvalued,1.3333333333333334e-07,0.1070343822135828
Andrew Kittredge,Fairly Valued,1.6e-07,0.22245170696148706
Anthony Banda,Undervalued,5e-07,0.003766249544405297
Anthony Bender,Undervalued,6.338028169014085e-07,0.01397157089053578
Antonio Senzatela,Overvalued,0.0,0.2248815453772324
Aroldis Chapman,Overvalued,3.7209302325581396e-08,0.2406754950795772
Austin Gomber,Undervalued,3.3070866141732285e-07,0.13376260478678167
Bailey Falter,Undervalued,7.657657657657658e-07,0.033410278216498605
Bailey Ober,Undervalued,8.169014084507042e-07,0.06572712914591179
Beau Brieske,Undervalued,6.796116504854368e-07,0.004495201069128903
Blake Snell,Overvalued,7.666471962616822e-08,0.6450492042279189
Blake Treinen,Overvalued,1.2727272727272726e-07,0.24675009111894058
Brad Keller,Overvalued,-1.3333333333333334e-07,0.015915441623132062
Brady Singer,Undervalued,3.542857142857143e-07,0.19207872676467014
Brayan Bello,Overvalued,1.5272727272727273e-07,0.20220305349694243
Brent Suter,Undervalued,5.090909090909091e-07,0.04628842181994897
Brock Burke,Overvalued,-1.7391304347826088e-07,0.007411007168023327
Bryan Abreu,Undervalued,4.6376811594202904e-07,0.06329729073016645
Cal Quantrill,Undervalued,4.2857142857142857e-07,0.06451220993803912
Caleb Ferguson,Overvalued,-1.6666666666666668e-07,0.052363017859312355
Caleb Thielbar,Overvalued,-2.1818181818181818e-07,0.04628842181994897
Camilo Doval,Overvalued,-1.1037527593818985e-07,0.08953954562021625
Carlos Carrasco,Overvalued,-8e-07,0.015915441623132062
Casey Mize,Overvalued,8.547008547008547e-08,0.036326084315393026
